time_s,p_in_bar,p_out_bar,q_m3s,comp_speed_frac
203,48.20868800027393,46.50165854910708,1.0,0.8676666666666667
204,48.190453213379854,46.50295101285945,1.0,0.8680000000000001
205,48.173012106696795,46.504612829261745,1.0,0.8683333333333334
206,48.15637233001936,46.506643588309835,1.0,0.8686666666666667
207,48.140541181673036,46.509042788973844,1.0,0.869
208,48.12552560531316,46.51180983932184,1.0,0.8693333333333334
209,48.111332186879295,46.51494405666582,1.0,0.8696666666666667
210,48.097967151706676,46.518444667730165,1.0,0.87
211,48.085436361795665,46.52231080884241,1.0,0.8703333333333334
212,48.07374531324067,46.526541526146374,1.0,0.8706666666666667
213,48.06289913381953,46.53113577583741,1.0,0.871
214,48.05290258074439,46.53609242442004,1.0,0.8713333333333334
215,48.04376003857519,46.54141024898751,1.0,0.8716666666666667
216,48.03547551729657,46.547087937523585,1.0,0.872
217,48.028052650559026,46.55312408922619,1.0,0.8723333333333334
218,48.0214946940852,46.55951721485307,1.0,0.8726666666666667
219,48.01580452424188,46.56626573708917,1.0,0.873
220,48.0109846367784,46.57336799093583,1.0,0.8733333333333334
221,48.00703714573202,46.58082222412154,1.0,0.8736666666666667
222,48.003963782500634,46.58862659753429,1.0,0.874
223,48.00176589508343,46.59677918567529,1.0,0.8743333333333334
224,48.0004444474896,46.605277977134065,1.0,0.8746666666666667
225,48.00000001931555,46.614120875084666,1.0,0.875
226,48.00043280549066,46.62330569780303,1.0,0.8753333333333334
227,48.00174261619182,46.63283017920528,1.0,0.8756666666666667
228,48.00392887692664,46.642691969406734,1.0,0.8760000000000001
229,48.00699062878547,46.65288863530176,1.0,0.8763333333333334
230,48.01092652886198,46.663417661164004,1.0,0.8766666666666667
231,48.01573485084212,46.67427644926713,1.0,0.877
232,48.021413485761364,46.68546232052568,1.0,0.8773333333333334
233,48.02795994292966,46.696972515156084,1.0,0.8776666666666667
234,48.03537135102391,46.708804193357565,1.0,0.8780000000000001
235,48.04364445934732,46.72095443601276,1.0,0.8783333333333334
236,48.052775639255174,46.73342024540791,1.0,0.8786666666666667
237,48.06276088574642,46.74619854597251,1.0,0.879
238,48.07359581922027,46.759286185038064,1.0,0.8793333333333334
239,48.08527568739712,46.772679933615926,1.0,0.8796666666666667
240,48.09779536740293,46.78637648719398,1.0,0.8800000000000001
241,48.111149368016186,46.80037246655189,1.0,0.8803333333333334
242,48.12533183207634,46.81466441859489,1.0,0.8806666666666667
243,48.14033653905285,46.82924881720563,1.0,0.881
244,48.15615690777352,46.844122064114245,1.0,0.8813333333333334
245,48.17278599931106,46.85928048978608,1.0,0.8816666666666667
246,48.19021652002653,46.874720354327,1.0,0.882
247,48.20844082476843,46.89043784840619,1.0,0.8823333333333334
248,48.22745092022586,46.90642909419588,1.0,0.8826666666666667
249,48.247238468434496,46.9226901463282,1.0,0.883
250,48.26779479043363,46.939216992868495,1.0,0.8833333333333334
251,48.28911087007287,46.95600555630519,1.0,0.8836666666666667
252,48.311177357966656,46.97305169455582,1.0,0.884
253,48.33398457559499,46.99035120198889,1.0,0.8843333333333334
254,48.35752251954849,47.007899810461566,1.0,0.8846666666666667
255,48.38178086591596,47.02569319037269,1.0,0.885
256,48.406748974812544,47.04372695173097,1.0,0.8853333333333334
257,48.43241589504644,47.06199664523807,1.0,0.8856666666666667
258,48.45877036892217,47.08049776338638,1.0,0.886
259,48.48580083717829,47.09922574157109,1.0,0.8863333333333334
260,48.51349544405739,47.11817595921636,1.0,0.8866666666666667
261,48.541842042506076,47.137343740915334,1.0,0.887
262,48.57082819950277,47.15672435758365,1.0,0.8873333333333334
263,48.600441201510925,47.17631302762618,1.0,0.8876666666666667
264,48.63066806005528,47.196104918116795,1.0,0.888
265,48.66149551741868,47.216095145990685,1.0,0.8883333333333334
266,48.69291005245702,47.23627877924918,1.0,0.8886666666666667
267,48.72489788652971,47.25665083817652,1.0,0.889
268,48.7574449895431,47.27720629656847,1.0,0.8893333333333334
269,48.79053708610415,47.2979400829724,1.0,0.8896666666666667
270,48.824159661781756,47.318847081938515,1.0,0.89
271,48.858297969472844,47.3399221352819,1.0,0.8903333333333334
272,48.892937035870595,47.36116004335523,1.0,0.8906666666666667
273,48.928061668031816,47.382555566331526,1.0,0.891
274,48.96365646004069,47.40410342549704,1.0,0.8913333333333334
275,48.99970579976591,47.42579830455353,1.0,0.8916666666666667
276,49.03619387570829,47.447634850929944,1.0,0.892
277,49.07310468393577,47.46960767710301,1.0,0.8923333333333334
278,49.110422035102886,47.49171136192643,1.0,0.8926666666666667
279,49.14812956155153,47.51394045196838,1.0,0.893
280,49.1862107244899,47.53628946285704,1.0,0.8933333333333334
281,49.224648821246554,47.55875288063363,1.0,0.8936666666666667
282,49.263426992596315,47.581325163112844,1.0,0.894
283,49.30252823015485,47.604000741250246,1.0,0.8943333333333334
284,49.34193538383865,47.62677402051624,1.0,0.8946666666666667
285,49.381631169387234,47.64963938227634,1.0,0.895
286,49.421598175944084,47.672591185177446,1.0,0.8953333333333334
287,49.46181887369321,47.69562376653965,1.0,0.8956666666666667
288,49.50227562154783,47.718731443753335,1.0,0.896
289,49.54295067488792,47.74190851568121,1.0,0.8963333333333334
290,49.58382619334307,47.76514926406489,1.0,0.8966666666666667
291,49.62488424861746,47.788447954935684,1.0,0.897
292,49.6661068323533,47.81179884002932,1.0,0.8973333333333334
293,49.707475864029426,47.83519615820414,1.0,0.8976666666666667
294,49.74897319889156,47.8586341368625,1.0,0.898
295,49.79058063591074,47.882106993374954,1.0,0.8983333333333334
296,49.83227992576639,47.90560893650701,1.0,0.8986666666666667
297,49.87405277885064,47.929134167847884,1.0,0.899
298,49.915880873290234,47.952676883241125,1.0,0.8993333333333333
299,49.95774586298268,47.97623127421662,1.0,0.8996666666666667
300,49.99962938564295,47.99979152942364,1.0,0.9
301,50.04151307085734,48.02335183606461,1.0,0.9003333333333334
302,50.08337854814084,48.0469063813293,1.0,0.9006666666666667
303,50.125207454994566,48.070449353828906,1.0,0.901
304,50.16698144495969,48.09397494502988,1.0,0.9013333333333334
305,50.20868219566432,48.117477350686976,1.0,0.9016666666666667
306,50.250291416859845,48.14095077227531,1.0,0.902
307,50.291790858443136,48.16438941842096,1.0,0.9023333333333334
308,50.3331623184612,48.18778750632981,1.0,0.9026666666666667
309,50.37438765109468,48.21113926321431,1.0,0.903
310,50.41544877461673,48.2344389277177,1.0,0.9033333333333334
311,50.45632767932379,48.257680751335485,1.0,0.9036666666666667
312,50.49700643543481,48.280858999833725,1.0,0.904
313,50.537467200955334,48.30396795466372,1.0,0.9043333333333334
314,50.577692229503135,48.32700191437298,1.0,0.9046666666666667
315,50.61766387809193,48.34995519601181,1.0,0.905
316,50.65736461486969,48.37282213653549,1.0,0.9053333333333333
317,50.69677702680828,48.39559709420138,1.0,0.9056666666666667
318,50.73588382734087,48.41827444996091,1.0,0.906
319,50.77466786394401,48.44084860884592,1.0,0.9063333333333334
320,50.81311212566082,48.463314001349,1.0,0.9066666666666667
321,50.85119975056214,48.48566508479765,1.0,0.907
322,50.88891403314225,48.50789634472177,1.0,0.9073333333333333
323,50.92623843164607,48.53000229621414,1.0,0.9076666666666667
324,50.963156575324476,48.55197748528374,1.0,0.908
325,50.99965227161461,48.573816490201295,1.0,0.9083333333333334
326,51.0357095132421,48.59551392283694,1.0,0.9086666666666667
327,51.071312485241904,48.61706442998961,1.0,0.909
328,51.10644557189493,48.63846269470777,1.0,0.9093333333333333
329,51.14109336357715,48.65970343760119,1.0,0.9096666666666667
330,51.175240663518395,48.68078141814352,1.0,0.91
331,51.208872494467784,48.7016914359652,1.0,0.9103333333333334
332,51.24197410526283,48.722428332136545,1.0,0.9106666666666667
333,51.27453097729939,48.74298699044048,1.0,0.911
334,51.30652883089969,48.763362338634906,1.0,0.9113333333333333
335,51.33795363157542,48.78354934970405,1.0,0.9116666666666667
336,51.368791596183414,48.80354304309879,1.0,0.912
337,51.399029198971014,48.82333848596543,1.0,0.9123333333333334
338,51.428653177508565,48.84293079436273,1.0,0.9126666666666667
339,51.45765053850643,48.86231513446688,1.0,0.913
